,Feature,Importance
0,mean radius,0.0004620516
1,mean texture,0.0233449195
2,mean perimeter,0.0004554849
3,mean area,0.0002993269
4,mean smoothness,0.0041569260
5,mean compactness,0.0021195325
6,mean concavity,0.0047482507
7,mean concave points,0.0119118528
8,mean symmetry,0.0011372305
9,mean fractal dimension,0.0000000000
10,radius error,0.0032336087
11,texture error,0.0003724858
12,perimeter error,0.0019260328
13,area error,0.0053459861
14,smoothness error,0.0028190625
15,compactness error,0.0104794328
16,concavity error,0.0081948850
17,concave points error,0.0003634764
18,symmetry error,0.0023450094
19,fractal dimension error,0.0008490786
20,worst radius,0.6900438457
21,worst texture,0.0672094240
22,worst perimeter,0.0005108009
23,worst area,0.0175781314
24,worst smoothness,0.0112248664
25,worst compactness,0.0014794367
26,worst concavity,0.0046413545
27,worst concave points,0.1184972193
28,worst symmetry,0.0030010621
29,worst fractal dimension,0.0012492257
